CustomerID,Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount
129952,1.0,6.0,Mobile Phone,2,22.0,UPI,Male,3.0,5,Laptop & Accessory,1,Married,13.0,1,14.0,1.0,3.0,0.0,196.0
122290,0.0,11.0,Computer,1,10.0,Debit Card,Male,3.0,4,Mobile,3,Married,8.0,1,14.0,2.0,2.0,5.0,138.0
63864,0.0,7.0,Phone,3,42.0,Debit Card,Male,2.0,5,Mobile,4,Married,4.0,1,19.0,4.0,10.0,7.0,160.0
69229,0.0,11.0,Phone,2,30.0,Debit Card,Male,,3,Mobile,3,Divorced,3.0,1,20.0,0.0,1.0,1.0,176.0
122902,1.0,3.0,Phone,1,9.0,Debit Card,Male,2.0,3,Laptop & Accessory,4,Single,4.0,0,21.0,2.0,3.0,7.0,179.0
74863,0.0,16.0,Mobile Phone,1,9.0,Credit Card,Male,2.0,4,Fashion,4,Married,7.0,0,16.0,3.0,3.0,2.0,218.0
65975,0.0,8.0,Mobile Phone,1,11.0,Credit Card,Male,2.0,3,Laptop & Accessory,2,Single,6.0,1,18.0,2.0,2.0,5.0,171.0
123036,0.0,4.0,Mobile Phone,2,19.0,Debit Card,Male,4.0,3,Laptop & Accessory,4,Divorced,2.0,0,14.0,2.0,10.0,7.0,212.0
86628,0.0,4.0,Mobile Phone,2,14.0,Credit Card,Male,3.0,5,Others,2,Married,9.0,0,20.0,1.0,3.0,3.0,242.0
65236,1.0,,Computer,3,18.0,Credit Card,Female,3.0,4,Mobile Phone,2,Single,4.0,0,18.0,0.0,2.0,0.0,98.0
135697,0.0,21.0,Mobile Phone,1,19.0,Debit Card,Female,2.0,2,Fashion,3,Single,2.0,0,16.0,2.0,5.0,4.0,223.0
76673,0.0,18.0,Mobile Phone,1,7.0,Debit Card,Male,2.0,4,Mobile Phone,3,Married,2.0,0,15.0,1.0,4.0,4.0,194.0
130463,0.0,14.0,Computer,2,10.0,CC,Male,2.0,4,Mobile,3,Single,3.0,0,19.0,1.0,3.0,0.0,159.0
107223,1.0,5.0,Phone,1,11.0,CC,Male,3.0,3,Laptop & Accessory,3,Single,7.0,0,14.0,1.0,2.0,1.0,66.0
142075,0.0,9.0,Phone,3,29.0,Debit Card,Male,2.0,5,Fashion,4,Married,5.0,1,17.0,0.0,1.0,1.0,117.0
79415,0.0,,Mobile Phone,3,16.0,Debit Card,Female,1.0,5,Laptop & Accessory,1,Divorced,6.0,1,16.0,1.0,3.0,4.0,175.0
110463,0.0,9.0,Computer,2,13.0,Credit Card,Male,4.0,3,Mobile,1,Married,6.0,1,15.0,5.0,6.0,9.0,95.0
55494,0.0,22.0,Mobile Phone,2,23.0,Debit Card,Male,2.0,1,Mobile Phone,3,Married,6.0,0,20.0,2.0,6.0,3.0,147.0
118401,0.0,4.0,Mobile Phone,2,19.0,COD,Male,3.0,3,Mobile,4,Single,2.0,1,15.0,2.0,5.0,2.0,234.0
86022,0.0,17.0,Phone,3,6.0,E wallet,Male,3.0,3,Grocery,3,Married,6.0,0,16.0,3.0,4.0,2.0,167.0
50989,0.0,28.0,Mobile Phone,1,5.0,Debit Card,Female,4.0,4,Others,4,Married,7.0,0,13.0,3.0,4.0,4.0,264.0
76281,0.0,18.0,Phone,2,8.0,Credit Card,Male,3.0,3,Laptop & Accessory,2,Married,9.0,0,14.0,1.0,3.0,10.0,210.0
64300,0.0,9.0,Mobile Phone,3,11.0,Credit Card,Male,2.0,4,Laptop & Accessory,4,Single,2.0,1,21.0,0.0,4.0,1.0,142.0
128412,0.0,10.0,Phone,1,8.0,Debit Card,Male,4.0,4,Laptop & Accessory,3,Single,5.0,0,16.0,3.0,3.0,4.0,111.0
129702,1.0,2.0,Computer,2,19.0,Debit Card,Female,4.0,4,Mobile,4,Married,4.0,1,18.0,1.0,2.0,4.0,154.0
146959,1.0,4.0,Computer,1,16.0,Credit Card,Male,3.0,4,Laptop & Accessory,4,Married,3.0,0,16.0,1.0,2.0,1.0,110.0
85532,0.0,25.0,Mobile Phone,2,,Credit Card,Male,4.0,5,Others,2,Divorced,5.0,0,11.0,1.0,1.0,1.0,168.0
95233,1.0,2.0,Phone,1,13.0,CC,Male,3.0,4,Laptop & Accessory,4,Single,4.0,1,12.0,0.0,2.0,1.0,92.0
137802,0.0,2.0,Mobile Phone,2,28.0,Debit Card,Male,4.0,4,Mobile,2,Married,4.0,0,13.0,2.0,4.0,6.0,159.0
129364,1.0,14.0,Computer,1,10.0,Debit Card,Male,3.0,5,Laptop & Accessory,3,Single,7.0,1,12.0,0.0,2.0,6.0,115.0
85734,1.0,19.0,Mobile Phone,3,13.0,Credit Card,Male,3.0,4,Laptop & Accessory,3,Married,4.0,0,16.0,5.0,3.0,5.0,158.0
78996,0.0,2.0,Mobile Phone,2,8.0,Debit Card,Male,3.0,3,Laptop & Accessory,2,Divorced,2.0,1,14.0,0.0,2.0,8.0,157.0
116814,0.0,19.0,Mobile Phone,1,31.0,Credit Card,Male,3.0,5,Laptop & Accessory,1,Single,4.0,0,12.0,2.0,4.0,4.0,246.0
137316,0.0,9.0,Mobile Phone,3,15.0,Debit Card,Male,3.0,4,Mobile Phone,3,Divorced,1.0,1,17.0,3.0,3.0,6.0,175.0
110488,0.0,16.0,Mobile Phone,1,35.0,Debit Card,Male,3.0,4,Mobile,2,Married,3.0,0,17.0,1.0,2.0,4.0,146.0
75191,0.0,28.0,Mobile Phone,2,5.0,Debit Card,Female,3.0,5,Fashion,1,Married,4.0,0,17.0,3.0,6.0,3.0,248.0
101772,0.0,20.0,Phone,2,8.0,Debit Card,Male,1.0,2,Laptop & Accessory,3,Divorced,2.0,0,15.0,1.0,1.0,3.0,159.0
55168,1.0,3.0,Mobile Phone,2,9.0,Debit Card,Male,4.0,3,Mobile,3,Divorced,15.0,1,12.0,2.0,2.0,6.0,208.0
102903,1.0,15.0,Computer,3,22.0,Debit Card,Male,3.0,4,Mobile Phone,2,Married,4.0,1,24.0,0.0,1.0,1.0,105.0
110768,1.0,4.0,Mobile Phone,2,23.0,Credit Card,Female,3.0,5,Laptop & Accessory,1,Divorced,4.0,1,18.0,1.0,1.0,3.0,95.0
140849,0.0,7.0,Computer,2,9.0,Debit Card,Female,3.0,4,Laptop & Accessory,4,Divorced,6.0,1,14.0,1.0,2.0,2.0,84.0
92750,0.0,22.0,Phone,3,13.0,Debit Card,Male,1.0,4,Laptop & Accessory,5,Single,2.0,1,13.0,0.0,3.0,1.0,138.0
134187,0.0,10.0,Phone,3,7.0,Credit Card,Male,2.0,3,Laptop & Accessory,5,Married,9.0,0,12.0,1.0,7.0,7.0,150.0
110591,1.0,9.0,Phone,1,26.0,Credit Card,Male,5.0,5,Mobile,2,Married,9.0,1,13.0,0.0,3.0,5.0,188.0
97196,0.0,13.0,Phone,1,,Credit Card,Male,3.0,5,Laptop & Accessory,3,Married,3.0,1,16.0,1.0,2.0,,161.0
60339,0.0,10.0,Mobile Phone,2,19.0,Debit Card,Male,4.0,6,Laptop & Accessory,5,Married,5.0,0,13.0,1.0,3.0,5.0,177.0
67739,0.0,20.0,Mobile Phone,2,10.0,Credit Card,Male,3.0,5,Mobile,2,Married,5.0,0,17.0,4.0,7.0,4.0,222.0
128626,1.0,25.0,Mobile Phone,2,15.0,Debit Card,Female,3.0,3,Mobile Phone,2,Single,2.0,1,25.0,1.0,5.0,7.0,146.0
105727,1.0,2.0,Mobile Phone,2,9.0,CC,Male,4.0,3,Laptop & Accessory,4,Single,2.0,1,13.0,2.0,2.0,4.0,152.0
53063,0.0,10.0,Computer,2,,E wallet,Male,3.0,5,Mobile,3,Married,4.0,0,11.0,1.0,3.0,0.0,156.0
83738,0.0,18.0,Phone,2,17.0,Credit Card,Male,3.0,3,Laptop & Accessory,5,Single,1.0,1,21.0,1.0,2.0,2.0,102.0
119474,0.0,6.0,Phone,2,7.0,Debit Card,Male,1.0,4,Mobile Phone,2,Divorced,1.0,0,15.0,3.0,7.0,6.0,197.0
131756,0.0,15.0,Phone,2,19.0,Debit Card,Male,2.0,3,Mobile,3,Married,11.0,1,15.0,3.0,6.0,3.0,243.0
110638,0.0,13.0,Mobile Phone,2,7.0,Debit Card,Male,2.0,4,Mobile,5,Single,4.0,0,12.0,3.0,3.0,3.0,188.0
58286,0.0,6.0,Mobile Phone,3,9.0,COD,Male,3.0,4,Laptop & Accessory,2,Single,6.0,0,22.0,2.0,2.0,0.0,136.0
62102,1.0,3.0,Phone,2,8.0,Credit Card,Male,3.0,3,Laptop & Accessory,4,Single,6.0,0,14.0,0.0,3.0,9.0,138.0
149919,1.0,3.0,Mobile Phone,1,6.0,Debit Card,Male,3.0,5,Laptop & Accessory,4,Single,3.0,1,17.0,2.0,4.0,5.0,164.0
90726,1.0,7.0,Computer,1,10.0,Debit Card,Male,2.0,6,Laptop & Accessory,3,Divorced,5.0,0,23.0,1.0,2.0,0.0,47.0
114767,1.0,17.0,Mobile Phone,1,18.0,Debit Card,Male,2.0,5,Laptop & Accessory,1,Married,9.0,0,13.0,3.0,7.0,12.0,216.0
108537,0.0,17.0,Phone,2,16.0,CC,Female,3.0,4,Laptop & Accessory,3,Single,2.0,1,19.0,0.0,4.0,5.0,161.0
85662,0.0,5.0,Mobile Phone,2,23.0,Debit Card,Male,2.0,4,Grocery,3,Single,1.0,0,12.0,5.0,6.0,10.0,214.0
129904,0.0,8.0,Computer,2,12.0,UPI,Male,3.0,2,Laptop & Accessory,4,Married,3.0,0,15.0,0.0,1.0,2.0,150.0
81161,0.0,8.0,Mobile Phone,2,,Debit Card,Male,3.0,4,Mobile,3,Married,3.0,1,16.0,1.0,2.0,0.0,166.0
65898,0.0,43.0,Mobile Phone,2,25.0,Debit Card,Male,4.0,5,Mobile Phone,3,Divorced,8.0,1,14.0,2.0,5.0,2.0,149.0
103046,1.0,7.0,Computer,1,19.0,Debit Card,Male,3.0,3,Fashion,4,Single,1.0,1,20.0,1.0,2.0,3.0,192.0
56675,0.0,21.0,Mobile Phone,1,7.0,Debit Card,Male,4.0,4,Laptop & Accessory,4,Married,5.0,1,15.0,3.0,5.0,1.0,140.0
116203,0.0,16.0,Mobile Phone,2,10.0,E wallet,Female,2.0,5,Laptop & Accessory,4,Married,4.0,0,12.0,0.0,1.0,5.0,190.0
78037,1.0,16.0,Computer,1,10.0,COD,Male,4.0,4,Others,2,Divorced,5.0,1,13.0,2.0,2.0,3.0,210.0
70339,1.0,4.0,Mobile Phone,1,22.0,Debit Card,Male,2.0,4,Laptop & Accessory,3,Single,4.0,1,14.0,0.0,2.0,1.0,128.0
140055,1.0,11.0,Mobile Phone,1,15.0,Debit Card,Male,2.0,3,Mobile Phone,5,Married,9.0,1,12.0,0.0,1.0,1.0,155.0
121339,0.0,8.0,Mobile Phone,3,6.0,Debit Card,Male,3.0,2,Laptop & Accessory,4,Married,5.0,1,16.0,2.0,5.0,5.0,192.0
133564,0.0,24.0,Mobile Phone,1,23.0,Debit Card,Female,2.0,5,Fashion,1,Married,7.0,1,15.0,3.0,6.0,3.0,207.0
129988,0.0,1.0,Phone,2,16.0,Credit Card,Male,2.0,4,Mobile,5,Married,2.0,1,15.0,3.0,5.0,7.0,239.0
78002,0.0,15.0,Mobile Phone,2,24.0,Debit Card,Male,3.0,3,Laptop & Accessory,4,Single,8.0,0,15.0,2.0,4.0,9.0,193.0
82188,1.0,4.0,Phone,2,7.0,Credit Card,Female,3.0,5,Mobile,2,Married,3.0,0,18.0,1.0,4.0,2.0,143.0
105548,0.0,3.0,Mobile Phone,1,11.0,Debit Card,Male,3.0,3,Mobile Phone,2,Single,7.0,1,13.0,1.0,4.0,9.0,209.0
90797,0.0,8.0,Phone,3,7.0,CC,Female,4.0,4,Mobile Phone,5,Divorced,2.0,0,18.0,4.0,4.0,10.0,141.0
145271,0.0,18.0,Phone,2,10.0,Credit Card,Male,2.0,3,Laptop & Accessory,4,Married,7.0,1,17.0,0.0,1.0,1.0,79.0
136690,1.0,13.0,Phone,1,10.0,Debit Card,Male,3.0,4,Mobile,2,Single,1.0,0,13.0,0.0,3.0,4.0,166.0
136506,0.0,14.0,Phone,2,15.0,Credit Card,Male,3.0,2,Laptop & Accessory,1,Married,6.0,1,11.0,1.0,3.0,3.0,152.0
91199,0.0,4.0,Computer,2,14.0,E wallet,Male,2.0,4,Laptop & Accessory,4,Single,2.0,0,24.0,2.0,3.0,2.0,86.0
95925,1.0,,Mobile Phone,1,7.0,Credit Card,Male,3.0,3,Mobile,3,Single,3.0,0,20.0,2.0,4.0,4.0,172.0
53868,0.0,18.0,Mobile Phone,2,20.0,Credit Card,Female,,2,Fashion,5,Single,3.0,1,12.0,2.0,2.0,5.0,179.0
129405,0.0,8.0,Phone,1,,UPI,Male,3.0,4,Mobile,5,Married,9.0,0,12.0,0.0,2.0,2.0,121.0
98916,0.0,26.0,Computer,2,11.0,Credit Card,Male,4.0,5,Laptop & Accessory,2,Divorced,3.0,0,,1.0,3.0,3.0,184.0
144680,0.0,11.0,Mobile Phone,2,8.0,Debit Card,Male,3.0,3,Mobile,3,Married,2.0,0,11.0,2.0,1.0,0.0,185.0
67242,0.0,2.0,Phone,2,17.0,Credit Card,Male,5.0,3,Laptop & Accessory,5,Single,2.0,1,17.0,7.0,7.0,11.0,158.0
83902,0.0,2.0,Mobile Phone,2,15.0,Debit Card,Female,4.0,5,Fashion,2,Single,3.0,0,12.0,1.0,2.0,3.0,172.0
56542,0.0,1.0,Mobile Phone,3,7.0,Credit Card,Male,2.0,3,Fashion,2,Single,3.0,0,25.0,2.0,4.0,1.0,181.0
81484,0.0,7.0,Computer,2,27.0,UPI,Male,4.0,4,Laptop & Accessory,4,Divorced,3.0,0,11.0,1.0,1.0,0.0,118.0
100335,0.0,15.0,Mobile Phone,2,11.0,Credit Card,Male,4.0,4,Mobile Phone,1,Single,9.0,0,13.0,4.0,6.0,6.0,199.0
143733,0.0,6.0,Phone,2,16.0,Debit Card,Male,3.0,4,Mobile,2,Single,3.0,0,15.0,1.0,3.0,1.0,171.0
59224,1.0,14.0,Mobile Phone,2,11.0,COD,Male,3.0,3,Laptop & Accessory,3,Divorced,8.0,0,18.0,1.0,8.0,10.0,165.0
61430,0.0,6.0,Computer,3,5.0,E wallet,Male,4.0,5,Laptop & Accessory,4,Married,4.0,0,14.0,0.0,3.0,4.0,164.0
71753,0.0,9.0,Mobile Phone,2,13.0,Credit Card,Female,3.0,2,Fashion,4,Married,6.0,1,14.0,3.0,4.0,1.0,155.0
87265,1.0,17.0,Phone,3,,Credit Card,Male,2.0,5,Laptop & Accessory,3,Married,5.0,1,13.0,1.0,2.0,3.0,135.0
90526,0.0,19.0,Mobile Phone,2,6.0,CC,Male,2.0,3,Mobile Phone,4,Married,2.0,1,13.0,0.0,1.0,1.0,182.0
118606,0.0,11.0,Phone,3,8.0,Cash on Delivery,Male,3.0,5,Laptop & Accessory,4,Single,3.0,1,16.0,1.0,3.0,5.0,112.0
56078,0.0,7.0,Phone,2,20.0,Debit Card,Female,3.0,4,Fashion,1,Single,3.0,1,14.0,0.0,1.0,1.0,117.0
101084,1.0,2.0,Mobile Phone,1,23.0,Credit Card,Male,3.0,5,Laptop & Accessory,1,Married,12.0,1,12.0,1.0,3.0,9.0,94.0
101272,0.0,14.0,Mobile Phone,1,7.0,Debit Card,Male,4.0,3,Mobile,1,Married,6.0,1,15.0,4.0,5.0,1.0,191.0
65206,0.0,2.0,Phone,1,30.0,E wallet,Male,3.0,6,Fashion,5,Divorced,3.0,1,12.0,1.0,1.0,4.0,176.0
98312,1.0,9.0,Computer,2,17.0,Credit Card,Male,2.0,5,Fashion,3,Single,2.0,0,15.0,3.0,5.0,3.0,213.0
74952,1.0,,Computer,2,6.0,Credit Card,Male,3.0,5,Mobile Phone,4,Married,3.0,1,12.0,0.0,1.0,1.0,97.0
56920,1.0,12.0,Mobile Phone,2,7.0,E wallet,Female,3.0,5,Fashion,4,Single,8.0,1,,2.0,4.0,,266.0
127812,0.0,11.0,Computer,3,7.0,Debit Card,Male,2.0,2,Mobile,3,Married,8.0,1,23.0,1.0,2.0,5.0,205.0
59697,1.0,4.0,Computer,1,6.0,Credit Card,Female,3.0,2,Laptop & Accessory,4,Single,7.0,0,14.0,0.0,2.0,2.0,147.0
60610,1.0,10.0,Mobile Phone,3,10.0,E wallet,Male,4.0,4,Laptop & Accessory,2,Married,10.0,1,17.0,4.0,5.0,10.0,109.0
113833,0.0,3.0,Mobile Phone,2,7.0,Debit Card,Male,4.0,5,Fashion,2,Married,2.0,0,25.0,1.0,4.0,9.0,194.0
89734,0.0,2.0,Mobile Phone,1,6.0,Debit Card,Male,2.0,3,Laptop & Accessory,4,Married,4.0,0,20.0,1.0,5.0,6.0,192.0
72773,0.0,24.0,Computer,2,12.0,Credit Card,Female,4.0,4,Laptop & Accessory,4,Single,6.0,0,20.0,1.0,2.0,12.0,174.0
110700,0.0,4.0,Mobile Phone,2,28.0,CC,Female,3.0,4,Mobile Phone,4,Married,3.0,0,12.0,2.0,2.0,0.0,166.0
140541,1.0,12.0,Phone,1,25.0,E wallet,Male,3.0,4,Grocery,2,Married,4.0,0,13.0,3.0,5.0,3.0,219.0
74900,0.0,22.0,Mobile Phone,2,12.0,Credit Card,Female,5.0,3,Mobile Phone,2,Married,1.0,0,17.0,0.0,1.0,1.0,198.0
69466,1.0,9.0,Phone,2,8.0,COD,Female,2.0,3,Mobile,4,Married,4.0,0,11.0,,7.0,8.0,232.0
77141,0.0,8.0,Computer,1,39.0,Debit Card,Female,3.0,4,Mobile Phone,5,Single,4.0,0,21.0,5.0,7.0,3.0,126.0
76952,0.0,14.0,Mobile Phone,2,11.0,UPI,Male,4.0,4,Laptop & Accessory,4,Married,13.0,1,20.0,1.0,5.0,4.0,189.0
66275,0.0,1.0,Mobile Phone,1,21.0,Debit Card,Male,2.0,3,Mobile Phone,2,Single,2.0,0,15.0,0.0,3.0,4.0,210.0
51014,0.0,7.0,Phone,2,12.0,Debit Card,Male,4.0,4,Laptop & Accessory,1,Divorced,1.0,0,13.0,1.0,4.0,0.0,138.0
89636,0.0,14.0,Phone,3,11.0,Credit Card,Male,4.0,4,Fashion,3,Married,10.0,0,13.0,1.0,4.0,2.0,192.0
120388,1.0,13.0,Phone,1,8.0,Credit Card,Male,3.0,5,Fashion,5,Married,2.0,1,14.0,1.0,1.0,0.0,138.0
50317,0.0,19.0,Phone,2,18.0,CC,Male,2.0,3,Fashion,4,Married,3.0,1,12.0,1.0,3.0,1.0,183.0
101623,0.0,6.0,Mobile Phone,3,12.0,COD,Male,3.0,2,Laptop & Accessory,4,Single,2.0,0,14.0,2.0,7.0,16.0,163.0
54727,0.0,2.0,Phone,3,7.0,CC,Male,3.0,5,Laptop & Accessory,5,Single,7.0,0,17.0,2.0,2.0,4.0,120.0
142306,1.0,15.0,Mobile Phone,1,8.0,E wallet,Male,3.0,5,Fashion,5,Single,2.0,1,15.0,5.0,11.0,,216.0
114275,0.0,13.0,Phone,1,13.0,Credit Card,Male,3.0,3,Laptop & Accessory,4,Married,7.0,1,11.0,1.0,1.0,0.0,135.0
106102,0.0,26.0,Mobile Phone,1,,Credit Card,Male,3.0,4,Laptop & Accessory,3,Married,8.0,1,16.0,6.0,7.0,9.0,156.0
100180,0.0,21.0,Mobile Phone,1,15.0,E wallet,Male,2.0,2,Mobile,3,Single,5.0,0,,1.0,3.0,5.0,185.0
82749,0.0,5.0,Computer,2,12.0,Debit Card,Male,3.0,4,Mobile,2,Married,1.0,1,19.0,0.0,4.0,4.0,135.0
86678,1.0,8.0,Computer,1,7.0,Debit Card,Male,3.0,6,Laptop & Accessory,1,Married,2.0,1,11.0,1.0,1.0,0.0,62.0
91015,1.0,20.0,Phone,2,30.0,Credit Card,Male,3.0,1,Fashion,3,Single,7.0,1,11.0,3.0,4.0,2.0,258.0
123942,0.0,16.0,Mobile Phone,2,13.0,Credit Card,Male,4.0,4,Others,3,Single,2.0,1,21.0,0.0,2.0,1.0,246.0
50283,0.0,3.0,Phone,2,35.0,UPI,Male,3.0,5,Mobile,1,Married,5.0,1,19.0,1.0,5.0,9.0,244.0
87869,0.0,4.0,Phone,2,8.0,CC,Female,3.0,4,Laptop & Accessory,1,Married,4.0,1,11.0,0.0,5.0,2.0,149.0
94308,0.0,19.0,Computer,1,10.0,Debit Card,Male,3.0,4,Mobile Phone,3,Married,2.0,0,21.0,2.0,4.0,11.0,186.0
137044,0.0,17.0,Phone,2,11.0,Credit Card,Male,3.0,3,Laptop & Accessory,4,Married,2.0,0,14.0,1.0,2.0,5.0,150.0
97072,0.0,18.0,Phone,1,23.0,Debit Card,Male,3.0,4,Laptop & Accessory,3,Married,5.0,0,14.0,3.0,4.0,9.0,131.0
93967,1.0,5.0,Computer,1,12.0,UPI,Male,3.0,4,Mobile,2,Married,7.0,1,14.0,2.0,2.0,3.0,154.0
94907,0.0,18.0,Computer,1,18.0,UPI,Male,2.0,3,Laptop & Accessory,3,Divorced,7.0,0,13.0,2.0,6.0,4.0,163.0
